,Reporter,Partner,Trade Value (US$),expor,TradeValue,Weight,Type
297,Canada,Saint Vincent and the Grenadines,107.0,,107.0,107.0,Directed
298,Canada,Kyrgyzstan,32184.0,1.0,16092.5,16092.5,Directed
299,Canada,Jamaica,11655696.0,,11655696.0,11655696.0,Directed
300,Canada,Ireland,170338831.0,114726844.0,142532837.5,142532837.5,Directed
301,Canada,Saint Helena,1355.0,,1355.0,1355.0,Directed
302,Canada,TFYR of Macedonia,734200.0,355383.0,544791.5,544791.5,Directed
303,Canada,Libya,33199.0,,33199.0,33199.0,Directed
304,Canada,Anguilla,9309.0,,9309.0,9309.0,Directed
305,Canada,Afghanistan,562611.0,,562611.0,562611.0,Directed
306,Canada,Montenegro,14286.0,,14286.0,14286.0,Directed
307,Canada,Bahrain,2817436.0,,2817436.0,2817436.0,Directed
308,Canada,Ethiopia,2834761.0,,2834761.0,2834761.0,Directed
309,Canada,Malta,1232246.0,,1232246.0,1232246.0,Directed
310,Canada,Bulgaria,21960824.0,17461352.0,19711088.0,19711088.0,Directed
311,Canada,Bahamas,260121.0,,260121.0,260121.0,Directed
312,Canada,Armenia,882025.0,331.0,441178.0,441178.0,Directed
313,Canada,Gabon,55991.0,,55991.0,55991.0,Directed
314,Canada,Georgia,2018645.0,341514.0,1180079.5,1180079.5,Directed
315,Canada,Cook Isds,2402.0,,2402.0,2402.0,Directed
316,Canada,Zambia,13315713.0,138808.0,6727260.5,6727260.5,Directed
317,Canada,Nepal,137626.0,,137626.0,137626.0,Directed
318,Canada,Uzbekistan,105169.0,81950.0,93559.5,93559.5,Directed
319,Canada,Iran,1300602.0,,1300602.0,1300602.0,Directed
320,Canada,Finland,61349117.0,42387252.0,51868184.5,51868184.5,Directed
321,Canada,Swaziland,923100.0,,923100.0,923100.0,Directed
322,Canada,Zimbabwe,1014414.0,,1014414.0,1014414.0,Directed
323,Canada,Jordan,4148510.0,,4148510.0,4148510.0,Directed
324,Canada,Ecuador,13334158.0,,13334158.0,13334158.0,Directed
325,Canada,Rwanda,274630.0,,274630.0,274630.0,Directed
326,Canada,Czech Rep.,40703835.0,18061479.0,29382657.0,29382657.0,Directed
327,Canada,Indonesia,90626247.0,,90626247.0,90626247.0,Directed
328,Canada,United Arab Emirates,17945904.0,,17945904.0,17945904.0,Directed
329,Canada,Slovenia,12781844.0,13656732.0,13219288.0,13219288.0,Directed
330,Canada,Venezuela,608716.0,,608716.0,608716.0,Directed
331,Canada,Morocco,15608454.0,,15608454.0,15608454.0,Directed
332,Canada,Bermuda,4635.0,,4635.0,4635.0,Directed
333,Canada,Pakistan,24093547.0,15745944.0,19919745.5,19919745.5,Directed
334,Canada,Kuwait,5960.0,,5960.0,5960.0,Directed
335,Canada,Nigeria,1075858.0,,1075858.0,1075858.0,Directed
336,Canada,Mali,197064.0,,197064.0,197064.0,Directed
337,Canada,Liberia,1731544.0,,1731544.0,1731544.0,Directed
338,Canada,Costa Rica,28811626.0,,28811626.0,28811626.0,Directed
339,Canada,New Caledonia,2626.0,,2626.0,2626.0,Directed
340,Canada,Dem.Rep. of the Congo,5686227.0,207849.0,2947038.0,2947038.0,Directed
341,Canada,Guinea-Bissau,184.0,,184.0,184.0,Directed
342,Canada,Guyana,59756421.0,56180373.0,57968397.0,57968397.0,Directed
343,Canada,Honduras,19944733.0,,19944733.0,19944733.0,Directed
344,Canada,Burundi,7885.0,,7885.0,7885.0,Directed
345,Canada,Tunisia,6935951.0,,6935951.0,6935951.0,Directed
346,Canada,Sint Maarten (Dutch part),10931.0,,10931.0,10931.0,Directed
347,Canada,Bosnia Herzegovina,346555.0,239582.0,293068.5,293068.5,Directed
348,Canada,Dem. People's Rep. of Korea,8847.0,,8847.0,8847.0,Directed
349,Canada,New Zealand,53471112.0,40593448.0,47032280.0,47032280.0,Directed
350,Canada,Botswana,1196.0,,1196.0,1196.0,Directed
351,Canada,Papua New Guinea,94171.0,,94171.0,94171.0,Directed
352,Canada,Br. Virgin Isds,83925.0,,83925.0,83925.0,Directed
353,Canada,South Africa,253772220.0,10720606.0,132246413.0,132246413.0,Directed
354,Canada,Tajikistan,2614.0,,2614.0,2614.0,Directed
355,Canada,Suriname,1333067.0,,1333067.0,1333067.0,Directed
356,Canada,Dominica,19034.0,,19034.0,19034.0,Directed
357,Canada,Togo,129777.0,,129777.0,129777.0,Directed
358,Canada,Serbia,4378575.0,2865200.0,3621887.5,3621887.5,Directed
359,Canada,Madagascar,3874343.0,,3874343.0,3874343.0,Directed
360,Canada,Iceland,4285340.0,6271902.0,5278621.0,5278621.0,Directed
361,Canada,El Salvador,1784018.0,404093.0,1094055.5,1094055.5,Directed
362,Canada,Cambodia,78881171.0,,78881171.0,78881171.0,Directed
363,Canada,American Samoa,25285.0,,25285.0,25285.0,Directed
364,Canada,Saudi Arabia,69747416.0,,69747416.0,69747416.0,Directed
365,Canada,Sri Lanka,12167185.0,,12167185.0,12167185.0,Directed
366,Canada,Timor-Leste,35269.0,,35269.0,35269.0,Directed
367,Canada,Grenada,92023.0,,92023.0,92023.0,Directed
368,Canada,Montserrat,11333.0,,11333.0,11333.0,Directed
369,Canada,Belize,197389.0,73173.0,135281.0,135281.0,Directed
370,Canada,Saint Lucia,13313.0,,13313.0,13313.0,Directed
371,Canada,Senegal,72175.0,65570.0,68872.5,68872.5,Directed
372,Canada,Lebanon,2093140.0,,2093140.0,2093140.0,Directed
373,Canada,Cayman Isds,95194.0,,95194.0,95194.0,Directed
374,Canada,Kenya,1052132.0,745217.0,898674.5,898674.5,Directed
375,Canada,Saint-Barthélemy,438.0,,438.0,438.0,Directed
376,Canada,Uganda,211689.0,350217.0,280953.0,280953.0,Directed
377,Canada,Ukraine,7572147.0,4467533.0,6019840.0,6019840.0,Directed
378,Canada,Cabo Verde,3374.0,,3374.0,3374.0,Directed
379,Canada,Malaysia,135973448.0,39173854.0,87573651.0,87573651.0,Directed
380,Canada,Hungary,40177694.0,16277510.0,28227602.0,28227602.0,Directed
381,Canada,Yemen,1350.0,,1350.0,1350.0,Directed
